Phase,FPS_Inst,Latence_ms,Temp_C,Power_Soft_W,Power_Manual_W
TEST,2.0,499.72,72.5,0,5.57
TEST,2.0,501.87,72.1,0,5.57
TEST,2.0,501.01,72.5,0,5.57
TEST,2.0,500.93,72.5,0,5.57
TEST,2.0,501.19,73.0,0,5.57
TEST,2.0,501.7,73.0,0,5.57
TEST,2.0,500.84,73.5,0,5.57
TEST,2.0,500.53,73.5,0,5.57
TEST,2.0,500.84,73.0,0,5.57
TEST,2.0,501.59,72.5,0,5.57
TEST,2.0,499.89,72.5,0,5.57
TEST,2.0,501.28,74.0,0,5.57
TEST,2.0,500.44,73.0,0,5.57
TEST,2.0,501.4,73.0,0,5.57
TEST,2.0,500.37,74.0,0,5.57
TEST,2.0,500.83,73.5,0,5.57
TEST,2.0,500.6,73.5,0,5.57
TEST,2.0,501.47,74.0,0,5.57
TEST,2.0,498.22,73.5,0,5.57
TEST,2.0,501.87,74.0,0,5.57
TEST,2.0,500.56,73.0,0,5.57
TEST,2.0,501.52,74.0,0,5.57
TEST,2.0,501.14,73.5,0,5.57
TEST,2.0,501.57,74.0,0,5.57
TEST,2.0,500.5,73.5,0,5.57
TEST,2.0,501.15,75.0,0,5.57
TEST,2.0,500.86,74.5,0,5.57
TEST,2.0,500.91,74.5,0,5.57
TEST,2.0,501.48,74.0,0,5.57
TEST,2.0,500.63,74.5,0,5.57
TEST,2.0,501.82,74.5,0,5.57
TEST,2.0,502.2,74.5,0,5.57
TEST,2.0,499.66,74.0,0,5.57
TEST,2.0,502.58,74.5,0,5.57
TEST,2.0,500.18,74.0,0,5.57
TEST,2.0,501.23,74.5,0,5.57
TEST,2.0,499.6,74.0,0,5.57
TEST,2.0,504.5,75.0,0,5.57
TEST,2.0,504.06,74.5,0,5.57
TEST,2.0,505.87,75.0,0,5.57
TEST,2.0,501.77,74.5,0,5.57
TEST,2.0,500.97,73.5,0,5.57
TEST,2.0,500.75,74.5,0,5.57
TEST,2.0,501.79,75.0,0,5.57
TEST,2.0,498.27,75.0,0,5.57
TEST,2.0,502.11,75.5,0,5.57
TEST,2.0,500.27,75.5,0,5.57
TEST,2.0,501.99,75.0,0,5.57
TEST,2.0,499.78,76.0,0,5.57
TEST,2.0,501.83,75.0,0,5.57
TEST,2.0,501.98,74.5,0,5.57
TEST,2.0,501.34,75.0,0,5.57
TEST,2.0,500.86,76.0,0,5.57
TEST,2.0,501.4,75.0,0,5.57
TEST,2.0,500.15,75.0,0,5.57
TEST,2.0,502.43,76.0,0,5.57
TEST,2.0,500.9,75.0,0,5.57
TEST,2.0,501.05,76.0,0,5.57
TEST,2.0,499.83,75.5,0,5.57
TEST,2.0,500.3,76.0,0,5.57
TEST,2.0,500.85,75.0,0,5.57
TEST,2.0,500.64,75.5,0,5.57
TEST,2.0,499.46,75.5,0,5.57
TEST,2.0,500.97,76.0,0,5.57
TEST,2.0,501.18,76.4,0,5.57
TEST,2.0,501.61,76.0,0,5.57
TEST,2.0,500.03,76.4,0,5.57
TEST,2.0,502.33,76.4,0,5.57
TEST,2.0,500.2,76.0,0,5.57
TEST,2.0,501.95,75.5,0,5.57
TEST,2.0,501.25,75.5,0,5.57
TEST,2.0,500.07,75.5,0,5.57
TEST,2.0,501.56,76.0,0,5.57
TEST,2.0,500.27,76.0,0,5.57
TEST,2.0,499.78,76.4,0,5.57
TEST,2.0,501.9,76.9,0,5.57
TEST,2.0,500.81,76.9,0,5.57
TEST,2.0,501.8,75.5,0,5.57
TEST,2.0,499.49,76.4,0,5.57
TEST,2.0,500.81,76.4,0,5.57
TEST,2.0,500.72,76.9,0,5.57
TEST,2.0,502.08,76.0,0,5.57
TEST,2.0,499.59,76.4,0,5.57
TEST,2.0,501.58,77.4,0,5.57
TEST,2.0,500.8,76.9,0,5.57
TEST,2.0,501.28,76.0,0,5.57
TEST,2.0,500.86,76.4,0,5.57
TEST,2.0,501.86,76.9,0,5.57
TEST,2.0,500.88,75.5,0,5.57
TEST,2.0,501.72,76.4,0,5.57
TEST,2.0,500.63,76.4,0,5.57
TEST,2.0,500.76,77.9,0,5.57
TEST,2.0,500.65,76.9,0,5.57
TEST,2.0,501.32,76.9,0,5.57
TEST,2.0,499.96,77.4,0,5.57
TEST,2.0,500.98,76.0,0,5.57
TEST,2.0,501.17,76.9,0,5.57
TEST,2.0,502.1,76.4,0,5.57
TEST,2.0,502.23,76.4,0,5.57
TEST,2.0,501.8,76.4,0,5.57
TEST,2.0,499.57,77.4,0,5.57
TEST,2.0,502.44,76.9,0,5.57
TEST,2.0,499.92,77.4,0,5.57
TEST,2.0,501.8,76.4,0,5.57
TEST,2.0,499.48,76.4,0,5.57
TEST,2.0,500.6,76.9,0,5.57
TEST,2.0,500.77,76.9,0,5.57
TEST,2.0,502.02,76.9,0,5.57
TEST,2.0,500.98,76.4,0,5.57
TEST,2.0,502.77,76.9,0,5.57
TEST,2.0,500.36,77.4,0,5.57
TEST,2.0,500.98,78.4,0,5.57
TEST,2.0,500.6,78.9,0,5.57
TEST,2.0,501.37,76.9,0,5.57
TEST,2.0,500.6,77.9,0,5.57
TEST,2.0,501.12,78.9,0,5.57
TEST,2.0,500.63,76.9,0,5.57
